main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
디자인,제품·3D프린팅,제품 설계·디자인,31,0,5500000,8800000,11000000,27,"레드닷,IF,IDEA 3대 공모전 석권한 회사에서  제품디자인 해 드립니다.",grafydesign,https://kmong.com/gig/206261
디자인,로고·브랜딩,브랜딩,78,57,4400000,가격 없음,가격 없음,596,"비교 사절, 수준높은 토탈 브랜딩을 함께 완성해 드립니다.",스튜디오플랫,https://kmong.com/gig/68743
디자인,로고·브랜딩,브랜딩,290,192,1980000,2530000,3080000,426,시장 속에서 대체할 수 없는 브랜드로 만들어 드립니다.,RegularType,https://kmong.com/gig/65271
디자인,명함·인쇄·홍보물,전단·포스터·인쇄물,275,4,1000000,1500000,3000000,13,탄탄한 컨셉+날카로운 카피와 디자인으로 무장한 풀패키지 인쇄홍보물 서비스를 뽑아 드립니다.,노까피,https://kmong.com/gig/174893
디자인,상세·이벤트 페이지,상세·이벤트 페이지,157,105,290000,490000,790000,159,일본 대기업 출신 전문가의 판매로 이어지는 디자인 해 드립니다.,실전디자인,https://kmong.com/gig/215592
디자인,로고·브랜딩,로고디자인,3541,6,1100000,가격 없음,가격 없음,38,브랜딩을 디자인하다 감각적인 브랜드 로고 디자인 제 드립니다.,메이크홈즈,https://kmong.com/gig/164292
디자인,웹·모바일 디자인,아이콘·버튼,88,11,150000,280000,300000,58,"웹,모바일 앱에서 필요한 미니멀 UI 아이콘 드립니다.",창업칭구,https://kmong.com/gig/150972
디자인,PPT·인포그래픽,PPT,652,137,15000,가격 없음,가격 없음,534,"제안서,회사소개서,사업계획서,IR,삽도,인포그래픽 PPT디자인 해 드립니다.",담다디,https://kmong.com/gig/55443
디자인,캘리그라피·폰트,캘리그라피,499,426,10000,100000,200000,333,고퀄리티 상업용 캘리그라피 제작 해 드립니다.,보노,https://kmong.com/gig/59734
디자인,명함·인쇄·홍보물,전단·포스터·인쇄물,85,29,33000,44000,1980000,101,'기업브랜드 전문' 디자이너가 격이 다른 디자인을 보여 드립니다.,봄사장,https://kmong.com/gig/244860
