main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
영상·사진·음향,영상촬영·편집,-,,0,3300000,5500000,11000000,10,"브랜드의 첫인상 '맞춤형 홍보영상'을 기획,촬영,편집해 드립니다.",트웬티세븐27,https://kmong.com/gig/327285
영상·사진·음향,모델·MC·공연,MC,95,3,1000000,가격 없음,가격 없음,59,라이브커머스 쇼호스트가 판매방송 진행해 드립니다.,원아워대표쇼호스트차준수,https://kmong.com/gig/237859
영상·사진·음향,3D·VR,-,151,7,350000,가격 없음,가격 없음,114,제품 홍보용 3D 시뮬레이션 영상 제작해 드립니다.,gizmodesign,https://kmong.com/gig/146958
영상·사진·음향,사진촬영,-,,0,100000,200000,500000,8,원하는 분위기를 잘 담아낸 건축 인테리어 사진을 만들어 드립니다.,oneofthings,https://kmong.com/gig/348023
영상·사진·음향,음악·사운드,-,17,16,250000,500000,700000,18,"사운드, 광고음악, BGM 만들어 드립니다.",슬리퍼,https://kmong.com/gig/291276
영상·사진·음향,3D·VR,-,18,11,220000,330000,440000,61,360도 파노라마 VR 투어를 제작해 드립니다.,파노360브이알,https://kmong.com/gig/163389
영상·사진·음향,영상촬영·편집,-,250,11,550000,5500000,22000000,231,매체 고려한 고퀄리티 기획부터 촬영 편집까지 한번에 드립니다.,GCsoft,https://kmong.com/gig/97431
영상·사진·음향,사진촬영,-,46,24,55000,가격 없음,가격 없음,142,음식사진 쿠킹영상 제작해 드립니다.,보글보글미디어,https://kmong.com/gig/204996
영상·사진·음향,사진촬영,-,25,18,150000,가격 없음,가격 없음,21,"기업 홍보, 인터뷰 사진 촬영해 드립니다.",JKHIPHOP,https://kmong.com/gig/176184
영상·사진·음향,사진촬영,-,15,14,120000,150000,3000000,128,"포토그래퍼 유튜버 장병환이 제품,룩북,프로필 촬영해 드립니다.",장병환,https://kmong.com/gig/339869
영상·사진·음향,모델·MC·공연,모델,148,25,55000,90000,360000,94,"경력 많은 여자 손모델, 제품을 고급스럽게 만들어 드립니다.",모델나야,https://kmong.com/gig/278414
영상·사진·음향,영상촬영·편집,-,109,54,700000,2750000,3080000,927,빠른 제작 가능 최강 기획력 바이럴 영상 제작해 드립니다.,mediapalette,https://kmong.com/gig/66459
영상·사진·음향,유튜브 제작,-,109,8,700000,3500000,4000000,149,"센스있는 유튜브 기획, 촬영, 편집, 채널 관리 드립니다.",mediapalette,https://kmong.com/gig/188748
영상·사진·음향,음악·사운드,-,11,8,1500000,가격 없음,가격 없음,56,"가장 완벽한 영상, 광고, 애니메이션 음악 등을 드립니다.",바예,https://kmong.com/gig/123967
영상·사진·음향,영상촬영·편집,-,25,20,2400000,5500000,9900000,206,귀사만의 유일한 스토리텔링 영상을 제작해 드립니다.,사다리필름,https://kmong.com/gig/126367
영상·사진·음향,유튜브 제작,-,25,0,2400000,3000000,9000000,45,당신의 유튜브 채널을 꽃피워 드립니다.,사다리필름,https://kmong.com/gig/165726
영상·사진·음향,헤어메이크업,-,19,16,150000,300000,600000,76,"화보, 룩북, 광고 등 출장 헤어 메이크업해 드립니다.",BLURSH,https://kmong.com/gig/295909
영상·사진·음향,영상촬영·편집,-,6,5,3500000,8000000,15000000,63,고객님의 비즈니스 품격을 높히는 미디어를 제작해 드립니다.,라스팅오션프로덕션,https://kmong.com/gig/309821
영상·사진·음향,교육 영상,-,16,15,90000,130000,180000,73,CLASS101 제작 경험으로 강의 영상 편집 도와 드립니다.,강의형영상편집자얌전둥이,https://kmong.com/gig/302587
