main,title,period,duration of work,workplace,type,tag,expert,url
경영전략/신사업,외국어교육사업 동남아시장 진출 전략 ,6/1/2020, 1개월 이내,회사 (서울특별시  강남구),협의,"마케팅, 동남아, 베트남, 해외합작법인, 전략기획, 스타트업, 해외시장개척","신규사업/BD, 경영전략/관리, 마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1359
전문가,"커피사업 매출증대와 유통, 사업방향 전반적 진단(영업 인사 노무 생산 마케팅 QC)",6/1/2020, 3개월 이내,협의/기타,세부내용은 협의 가능 방향과 결과물 도출후 형태 협의,"경영전략, 판매, 매출, 마케팅, 유통, 커피, 전략, 온라인마케팅, 사업계획서, 제조",제안받으신 전문가님 50명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1370
영업/구매/유통,"외식업, 프랜차이즈등 예약 및 고객관리 솔루션 영업전문가",6/1/2020, 3개월 이내,협의/기타,협의후 결정,"영업, 영업기획, 외식업, 레스토랑, 프랜차이즈, 협회, 예약, 고객관리",영업/구매/유통 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1373
마케팅,기업홍보 동영상 제작 감수,6/1/2020, 1개월 이내,협의/기타,협의,"기업홍보, 동영상, 콘티, 시놉시스, 외주제작, 선정기준, 제작물검수, 감수","마케팅전략/브랜딩, 홍보/PR 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1376
Other,모바일 헬스케어 플랫폼 개발 v-CTO초빙,6/1/2020, 6개월 이내,회사 (서울특별시  금천구),주 2~3일 풀타임 근무,"vcto, 모바일app, it, 모바일플랫폼",IT 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1384
마케팅,모바일 헬스케어 마케팅 홍보 v-CMO초빙,6/1/2020, 6개월 이내,회사 (서울특별시  금천구),주 2~3일 풀타임 근무,"CMO, vcmo, 모바일헬스케어, 마케팅, 홍보",마케팅전략/브랜딩 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1385
IT,스타트업 보안시스템 구축 프로젝트,6/1/2020, 3개월 이내,회사 (서울특별시  강남구),expert의 제안에 따라 유동적으로 운영 가능,"보안, 보안솔루션, 보안소프트웨어, 정보보안, 정보보호, 정보관리","시스템엔지니어, Other, 총무 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1386
영업/구매/유통,"신제품 (의약외품 생리대) 판로개척, 유통망확장, 영업망 확충",6/1/2020, 3개월 이내,협의/기타,"주1회미팅, 영업 전략과 현안공유기타 시간은 현장 영업 및 바이어 발굴","영업, 유통, 생활용품, 위생용품","물류/유통, 해외영업/무역, 마케팅전략/브랜딩, B2B영업, B2C영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1388
전문가,농업용 트랙터 변속기(트랜스미션) 변속성 개선 자문,6/1/2020, 6개월 이상,회사 (충청북도  옥천군),주1회 회사방문하여 자문진행,"연구, 설계용역, 트랜스미션, 변속기",제안받으신 전문가님 16명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1133
전문가,"자동차 부품, 연삭기, 볼스크류 생산 전문업체 해외영업전문가",6/1/2020, 6개월 이상,협의/기타,월 4일 근무 (회사 및 기타),"자동차부품, 연삭기, 볼스크류, 해외영업, 수출, 영업",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1390
영업/구매/유통,중견의료기기업체 해외영업 법인장급 전문위원,5/25/2020, 6개월 이상,회사 (서울특별시  구로구),"풀타임 상근(주5일, 09:00~18:00)","해외영업, 의료기기영업, 임플란트",해외영업/무역 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1314
전문가,미용 LED의료기기 신제품 사출 외주관리 전문가,5/25/2020, 3개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","사출, 의료기기외주, led미용, 전자제품사출, 외주생산",제안받으신 전문가님 67명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1361
마케팅,"콘크리트 산업관련 기업, 제품 홍보/마케팅 전문가 ",5/25/2020, 3개월 이내,협의/기타,"협의후 결정, 회사방문 필요","기업홍보, 상품홍보, 마케팅, 판매관리, 판매, 기획, 교육, 홍보, 콘크리트, 건설","홍보/PR, 마케팅전략/브랜딩, 상품기획, 온라인마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1368
전문가,의료용 LED광학 기기 전문가 자문,5/25/2020, 3개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","광학기기, led, 의료용광학, 광학",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1375
Other,커스터마이징 웨딩 사업의 온라인 마케팅,5/20/2020, 3개월 이내,회사 (서울특별시  강남구),협의,"웨딩홀, 커스터마이징, 온라인마케팅, 온라인광고, 광고효율",온라인마케팅 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1325
경영전략/신사업,초등학생용 교육 콘텐츠 신규사업의 유통 전략,5/20/2020, 3개월 이내,협의/기타,협의,"초등학생, 교육, 콘텐츠, 디바이스, 플랫폼, 유통채널, 온라인, 오프라인","경영전략/신사업, B2C영업, 물류/유통, 마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1326
경영전략/신사업,여성 의류 온라인몰 신규 론칭 및 운영,5/20/2020, 3개월 이내,회사 (서울특별시  영등포구),협의,"여성복, 하이패션, 온라인몰, 오픈마켓, SNS마케팅, 퍼포먼스마케팅","온라인마케팅, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1351
Other,신상품 마케팅 및 영업망 확대,5/18/2020, 6개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","영업, 관리, 사업기획, 경영, 상품기획, 신사업, 조선업, 마케팅","엔지니어링, B2B영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1306
Other,커피공장 직영매장 총괄운영 관리자,5/18/2020, 3개월 이내,회사 (경기도  용인시 수지구),상근,"식음료, 커피, 직영점, 프랜차이즈, 점포, 매장운영, 매장관리","B2C영업, CS, Other 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1324
전문가,케이터링(구내식당) 사업 타당성 자문,5/18/2020, 1주일 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","케이터링사업, 구내식당, 사업타당성",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1360
마케팅,리빙사업 온라인마케팅 전략수립 및 실행,5/18/2020, 3개월 이내,협의/기타,주3회 상근으로 하되 상황에 따라 협의가능,"온라인마케팅, 온라인매출증대, 리빙, 침구류, 온라인전략","온라인마케팅, 마케팅전략/브랜딩 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1189
