expert,skills
Lucas**,신규사업/BD
chung**,연구개발/설계
chung**,PM
chung**,Other
chung**,시스템엔지니어
chung**,생산/제조
alter**,PM
alter**,경영전략/관리
alter**,마케팅
lm12**,PM
lm12**,서비스기획
Wisepartn**,경영혁신/PI
Wisepartn**,제품/공간디자인
Wisepartn**,엔지니어링
Wisepartn**,교육
Wisepartn**,PM
lipb**,신규사업/BD
Frongine**,생산/제조
Frongine**,연구개발/설계
zealot**,PM
zealot**,서버개발/앱개발
zealot**,빅데이터/AI
zealot**,시스템엔지니어
zealot**,서비스기획
jeffka**,온라인마케팅
jeffka**,경영전략/관리
jeffka**,마케팅전략/브랜딩
jeffka**,상품기획
jeffka**,시장조사/데이터분석
nazare**,마케팅전략/브랜딩
nazare**,홍보/PR
nazare**,온라인마케팅
nazare**,상품기획
nazare**,시장조사/데이터분석
hsnoo**,Other
yhonl**,신규사업/BD
yhonl**,경영전략/관리
yhonl**,경영혁신/PI
yhonl**,B2B영업
yhonl**,마케팅전략/브랜딩
ikel**,경영혁신/PI
ikel**,PM
ikel**,서비스기획
ikel**,경영전략/관리
ikel**,빅데이터/AI
orson**,서비스기획
orson**,PM
orson**,빅데이터/AI
orson**,GUI(UI/UX)
finder**,경영전략/관리
finder**,신규사업/BD
finder**,경영혁신/PI
gem100**,Other
csjung33**,재무/회계/자금
csjung33**,원가관리
csjung33**,세무
cpakim**,투자/IPO
cpakim**,M&A/PMI
cpakim**,Other
cpakim**,재무/회계/자금
cpakim**,경영전략/관리
yunmin**,경영전략/관리
yunmin**,CS
yunmin**,공장신축
yunmin**,물류/유통
jhle**,경영혁신/PI
jhle**,정부지원사업
jhle**,신규사업/BD
jhle**,경영전략/관리
jhle**,제안서/편집디자인
yskim09**,PM
yskim09**,빅데이터/AI
jobsrun20**,신규사업/BD
jobsrun20**,Other
wbing11**,생산/제조
wbing11**,품질/안전
wbing11**,정부지원사업
wbing11**,기술/특허
wbing11**,연구개발/설계
hongblee89**,일반법무
Chr**,신규사업/BD
Chr**,B2C영업
Chr**,상품기획
Chr**,PM
Chr**,물류/유통
dj12**,인사
dj12**,교육
dj12**,경영전략/관리
dj12**,경영혁신/PI
dj12**,M&A/PMI
kep**,PM
kep**,서버개발/앱개발
kep**,GUI(UI/UX)
kep**,빅데이터/AI
kep**,서비스기획
krkimd**,신규사업/BD
krkimd**,B2B영업
sh1120l**,신규사업/BD
sh1120l**,경영전략/관리
sh1120l**,경영혁신/PI
gsw06**,생산/제조
abbama**,공장신축
abbama**,연구개발/설계
kspark75**,해외영업/무역
kspark75**,경영혁신/PI
kspark75**,B2B영업
kspark75**,마케팅전략/브랜딩
kspark75**,물류/유통
Tomm**,연구개발/설계
Tomm**,생산/제조
Tomm**,품질/안전
stevespa**,경영전략/관리
stevespa**,M&A/PMI
bobbobhj**,해외영업/무역
bobbobhj**,PM
bobbobhj**,B2B영업
bobbobhj**,연구개발/설계
bobbobhj**,상품기획
jeme**,홍보/PR
jeme**,마케팅전략/브랜딩
jeme**,온라인마케팅
jeme**,시장조사/데이터분석
cameli**,해외영업/무역
wsryu**,경영전략/관리
wsryu**,신규사업/BD
wsryu**,물류/유통
wsryu**,Other
yalee**,엔지니어링
yalee**,마케팅전략/브랜딩
yalee**,빅데이터/AI
yalee**,광고/영상디자인
yalee**,신규사업/BD
supersk09**,신규사업/BD
supersk09**,해외영업/무역
supersk09**,마케팅전략/브랜딩
supersk09**,인사
supersk09**,경영혁신/PI
pts19**,Other
peteros**,GUI(UI/UX)
peteros**,서버개발/앱개발
peteros**,마케팅전략/브랜딩
peteros**,광고/영상디자인
wanko**,신규사업/BD
wanko**,영업/구매/유통
wanko**,마케팅
wanko**,PM
KCtR20**,품질/안전
KCtR20**,시스템엔지니어
KCtR20**,서비스기획
KCtR20**,해외영업/무역
KCtR20**,상품기획
godofsa**,서버개발/앱개발
godofsa**,빅데이터/AI
zsteph**,재무/회계/자금
Bob**,인사
pel**,물류/유통
pel**,PM
pel**,B2C영업
pel**,신규사업/BD
pel**,B2B영업
Jamesahn0**,신규사업/BD
Jamesahn0**,경영전략/관리
Jamesahn0**,해외영업/무역
Jamesahn0**,연구개발/설계
Jamesahn0**,생산/제조
pimd63**,교육
pimd63**,인사
isch**,교육
isch**,인사
isch**,노무
isch**,총무
trans**,투자/IPO
trans**,M&A/PMI
trans**,신규사업/BD
trans**,해외영업/무역
trans**,홍보/PR
taeha**,재무/회계/자금
taeha**,원가관리
taeha**,투자/IPO
taeha**,재무/회계/자금
taeha**,원가관리
taeha**,투자/IPO
taeli**,서비스기획
taeli**,신규사업/BD
taeli**,PM
taeli**,경영전략/관리
nanoma**,연구개발/설계
nanoma**,신규사업/BD
nanoma**,서비스기획
nanoma**,투자/IPO
lsh21**,온라인마케팅
lsh21**,마케팅전략/브랜딩
lsh21**,물류/유통
lsh21**,경영전략/관리
lsh21**,PM
jinsoo**,경영전략/관리
jinsoo**,경영혁신/PI
jinsoo**,신규사업/BD
jinsoo**,B2B영업
jinsoo**,물류/유통
rich**,경영전략/관리
rich**,투자/IPO
rich**,Other
Withry**,시장조사/데이터분석
Withry**,경영혁신/PI
Withry**,마케팅전략/브랜딩
Withry**,신규사업/BD
Withry**,연구개발/설계
jinwonlee**,홍보/PR
lgising**,해외영업/무역
lgising**,B2B영업
skwan1**,경영전략/관리
skwan1**,구매
skwan1**,시장조사/데이터분석
skwan1**,품질/안전
skwan1**,마케팅전략/브랜딩
Coolsge**,B2C영업
Coolsge**,B2B영업
Coolsge**,구매
Coolsge**,물류/유통
Coolsge**,상품기획
onehe**,투자/IPO
onehe**,M&A/PMI
onehe**,경영전략/관리
onehe**,신규사업/BD
kyi07**,재무/회계/자금
kyi07**,원가관리
kyi07**,세무
tsshi**,경영혁신/PI
tsshi**,연구개발/설계
tsshi**,생산/제조
nh01**,Other
nh01**,경영혁신/PI
Selfokr12**,인사
Selfokr12**,교육
honey04**,시스템엔지니어
honey04**,서버개발/앱개발
neweld**,재무/회계/자금
jamillaxo**,B2C영업
jamillaxo**,디자인/패션
jamillaxo**,B2B영업
andrew11**,신규사업/BD
andrew11**,B2B영업
andrew11**,해외영업/무역
andrew11**,구매
andrew11**,M&A/PMI
jongyunk**,일반법무
jongyunk**,투자/IPO
jongyunk**,정부지원사업
jongyunk**,M&A/PMI
tonnys**,신규사업/BD
tonnys**,서비스기획
tonnys**,마케팅전략/브랜딩
tonnys**,PM
tonnys**,경영전략/관리
acce**,투자/IPO
acce**,신규사업/BD
acce**,경영전략/관리
acce**,시장조사/데이터분석
acce**,연구개발/설계
ocsofficer**,해외영업/무역
ocsofficer**,마케팅
ocsofficer**,신규사업/BD
ocsofficer**,B2B영업
r014**,교육
r014**,인사
r014**,노무
r014**,일반법무
r014**,정부지원사업
jhlee**,신규사업/BD
jhlee**,경영전략/관리
sunghoon10**,재무/회계/자금
sunghoon10**,신규사업/BD
sunghoon10**,경영전략/관리
sunghoon10**,원가관리
sunghoon10**,투자/IPO
bny99**,제안서/편집디자인
bny99**,마케팅전략/브랜딩
bang**,해외영업/무역
bang**,B2B영업
bang**,경영전략/관리
yoon121**,B2C영업
yoon121**,해외영업/무역
yoon121**,신규사업/BD
yoon121**,마케팅전략/브랜딩
yoon121**,상품기획
syoh**,마케팅전략/브랜딩
700c**,경영전략/신사업
700c**,마케팅전략/브랜딩
700c**,인사
700c**,B2B영업
700c**,투자/IPO
mba20**,마케팅전략/브랜딩
mba20**,온라인마케팅
mba20**,홍보/PR
mba20**,시장조사/데이터분석
yoojoons**,경영전략/관리
yoojoons**,신규사업/BD
yoojoons**,시장조사/데이터분석
yoojoons**,원가관리
yoojoons**,해외영업/무역
jngjrg**,해외영업/무역
jngjrg**,신규사업/BD
jngjrg**,연구개발/설계
jngjrg**,B2B영업
jngjrg**,상품기획
eklee89**,재무/회계/자금
eklee89**,경영전략/관리
smilejh**,인사
smilejh**,노무
smilejh**,교육
pyos**,경영전략/관리
pyos**,재무/회계/자금
pyos**,원가관리
pyos**,세무
pyos**,인사
dbjin10**,마케팅전략/브랜딩
dbjin10**,B2B영업
dbjin10**,B2C영업
dbjin10**,생산/제조
dbjin10**,시스템엔지니어
bigbroth**,연구개발/설계
bigbroth**,PM
bigbroth**,Other
Kennyj**,구매
Kennyj**,해외영업/무역
Kennyj**,물류/유통
Kennyj**,B2B영업
chodon**,신규사업/BD
chodon**,시장조사/데이터분석
chodon**,서비스기획
chodon**,빅데이터/AI
chodon**,시스템엔지니어
Expert1**,연구개발/설계
Expert1**,생산/제조
Expert1**,품질/안전
ghdrud**,품질/안전
salescoa**,B2C영업
salescoa**,마케팅전략/브랜딩
salescoa**,B2B영업
salescoa**,B2C영업
salescoa**,B2B영업
salescoa**,마케팅전략/브랜딩
bori13**,B2B영업
bori13**,해외영업/무역
bori13**,물류/유통
space**,B2C영업
boar07**,빅데이터/AI
boar07**,신규사업/BD
Zipack20**,물류/유통
Zipack20**,CS
Zipack20**,연구개발/설계
hskhy**,품질/안전
tigerhu**,경영전략/관리
tigerhu**,M&A/PMI
tigerhu**,재무/회계/자금
tigerhu**,원가관리
1000**,공장신축
1000**,품질/안전
1000**,구매
1000**,교육
Tensi**,마케팅전략/브랜딩
Tensi**,B2C영업
jdpark**,신규사업/BD
jdpark**,상품기획
jdpark**,마케팅전략/브랜딩
gigadesi**,제품/공간디자인
jyhong33**,경영전략/관리
jyhong33**,해외영업/무역
jyhong33**,마케팅전략/브랜딩
jyhong33**,정부지원사업
jyhong33**,신규사업/BD
john**,신규사업/BD
john**,B2B영업
john**,시장조사/데이터분석
john**,온라인마케팅
john**,마케팅전략/브랜딩
i010892357**,인사
dmkim05**,연구개발/설계
0189l**,해외영업/무역
0189l**,물류/유통
ovthor**,신규사업/BD
ovthor**,M&A/PMI
ovthor**,경영전략/관리
jin49**,Other
jin49**,신규사업/BD
jin49**,재무/회계/자금
jin49**,B2C영업
jin49**,마케팅전략/브랜딩
Strategicmk**,경영전략/관리
Strategicmk**,신규사업/BD
Strategicmk**,마케팅전략/브랜딩
Strategicmk**,상품기획
Strategicmk**,경영혁신/PI
jm1966**,홍보/PR
bang88**,정부지원사업
bang88**,경영전략/관리
bang88**,투자/IPO
dyhong**,해외영업/무역
dyhong**,경영전략/관리
ywjung**,경영전략/관리
knocko**,연구개발/설계
yeaga09**,연구개발/설계
yeaga09**,연구개발/설계
nodi4**,연구개발/설계
nodi4**,품질/안전
