company,career,education,region,reg,deadline,type,title,job,tag
채움바이오 주식회사,경력 1년↑,"대학(2,3년) 이상",인천 남동구,2022-06-07,2022-08-09,정규직,건강식품 쇼핑몰 관리 및 MD/ AMD 경력자 채용,"
, 브랜드MD, 온라인MD, AMD, 가공식품, 건강기능식품,  외            ",상품기획·MD
(주)한국인재연구소,경력무관,대학교(4년) 이상,서울 서초구,2022-06-07,2022-07-10,정규직,교육 프랜차이즈 사업 기획 및 영업 직원 모집(경력),"
, 브랜드기획, 사업기획, 서비스기획, 행사기획, 신사업기획,  외            ",상품기획·MD
아이엘비오,신입 · 경력,학력무관,서울 금천구,2022-06-07,2022-07-10,정규직,[정규직] 온라인 쇼핑몰 MD /AMD 모집 상품등록 관리 경력/신입,"
, 상품관리, 소셜커머스, 쇼핑몰, 오픈마켓, AMD,  ",상품기획·MD
아이엘비오,경력무관,학력무관,서울 금천구,2022-06-07,2022-07-10,정규직,[정규직] 온라인 스포츠 쇼핑몰 물류관리 담당자 모집,"
, 결품관리, 물류관리, 재고관리, 출고/출하, 쇼핑몰,  ",상품기획·MD
(주)킨도,신입 · 경력,대학교(4년) 이상,서울 강남구,2022-06-09,2022-07-08,정규직,[킨도] Product Manager(생활용품),"
, 구매총괄, 상품관리, 트렌드분석, 상품기획, 생활용품,  외            ",상품기획·MD
(주)오유인터내셔널,신입 · 경력,학력무관,서울 성동구,2022-05-03,2022-06-30,정규직,기획팀/국내영업팀/해외영업팀/일본영업팀 채용공고,"
, 자금관리, 재무기획, 재무회계, 사무직, 인/허가,  외            ",상품기획·MD
(주)한국미스미,신입 · 경력,대학교(4년) 이상,서울 강남구,2022-05-11,2022-06-17,정규직,㈜한국미스미 마케팅(CRM) 모집,"
, 프로모션기획, CRM마케팅, 세일즈프로모션, 이벤트프로모션, 마케팅,  ",상품기획·MD
(주)한국미스미,신입 · 경력,대학교(4년) 이상,서울 강남구,2022-05-11,2022-06-17,정규직,㈜한국미스미 메카니컬 사업팀 MD 모집,"
, 기획MD, 바잉MD, 영업MD, 유통MD, 상품기획,  외            ",상품기획·MD
(주)프린트베이커리,신입 · 경력,대학교(4년) 이상,경기 고양시,2022-05-20,2022-06-24,정규직,[프린트베이커리] 작품관리팀 팀원 모집 (신입/경력),"
, 사무직, 사무보조, 사무행정, 육상운송, 배차관리,  외            ",상품기획·MD
(주)콘크리트웍스,신입 · 경력,학력무관,서울 성동구,2022-05-20,2022-08-31,정규직,[코드그라피] 브랜드마케터/퍼포먼스/컨텐츠기획(신입/경력)채용,"
, 브랜드MD, 브랜드관리, 브랜드기획, 브랜드확장, 시장조사,  외            ",상품기획·MD
(주)성민네트웍스,경력무관,학력무관,서울 구로구,2022-05-24,채용시,정규직,부문별 경력직원 채용,"
, 기술지원, 유지보수, 솔루션, 고객관리, 점포개발,  외            ",상품기획·MD
제이씨코리아(주),경력무관,"대학(2,3년) 이상",경기 안양시 만안구,2022-05-24,2022-06-13,정규직,제이씨코리아(주) [데싱디바] 부문별 경력/신입 모집,"
, 기술지원, 유지보수, 정보보안, 원가관리, 원가회계,  외            ",상품기획·MD
(주)삼구에프에스,신입 · 경력,고졸 이상,경기 광주시,2022-05-24,2022-06-13,정규직,[식품가공]제조업 생산/운영/출하/사무 신규채용,"
, 전산회계, 급여(Payroll), 전표입력, 사무직, 총무,  외            ",상품기획·MD
바이옵트로(주),신입,"대학(2,3년) 이상",-,2022-05-27,2022-06-30,정규직,구매팀 신입사원 채용 (정규직),"
, 구매총괄, 구매관리, 개발구매, 수/발주, 수불관리,  외            ",상품기획·MD
갤러리티(주),신입 · 경력,학력무관,서울 강남구,2022-05-27,2022-06-20,정규직 · 계약직,"각 부문별 신입/경력 채용(인테리어 디자인, 상품기획/시공관리, 커머스AMD, 서비스개발기획, 정산)","
, 사무행정, 사이트관리, 서류관리, 자료입력, 전화응대,  외            ",상품기획·MD
(주)달콤한고래들,신입 · 경력,학력무관,서울 강서구,2022-05-28,2022-06-14,정규직,"부문별 채용(퍼포먼스마케터, MD, 인사, 상품개발 및 생산관리, 웹디자인)","
, 급여(Payroll), 연말정산, 원천세신고, 사이트관리, 콘텐츠관리,  외            ",상품기획·MD
(주)와우바이오텍,신입 · 경력,학력무관,서울 강남구,2022-05-30,2022-06-22,정규직,"건기식 마케팅, 영상, 디자인 담당자 모집","
, 매출관리, 쇼핑몰관리, 식품연구, 제약/바이오, 학술연구,  외            ",상품기획·MD
(주)지비스타일,경력무관,학력무관,서울 강남구,2022-05-30,2022-06-12,정규직,첨이첨이 온라인MD/웹디/영업지원 모집,"
, 온라인판매, 온라인영업, 기획MD, 영업MD, 오프라인MD,  외            ",상품기획·MD
피플라이프(주),신입 · 경력,학력무관,서울 동작구,2022-05-31,2022-06-21,정규직,피플라이프(주) 정규직 채용공고,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발,  외            ",상품기획·MD
(주)이루다마케팅,신입 · 경력,학력무관,서울 성동구,2022-05-31,2022-07-03,정규직,"각 부문별 채용(온라인 광고영업, 콘텐츠 디자이너, 검색광고)","
, 사이트관리, 콘텐츠관리, Excel, PowerPoint, 광고영업,  외            ",상품기획·MD
(주)비커밍,2 ~ 5년,학력무관,서울 성동구,2022-05-31,2022-06-12,정규직,[Bcoming] IMC마케팅 경력(2~5년) 채용,"
, SNS, 마케팅기획, 마케팅전략, 블로그마케팅, 인플루언서마케팅,  외            ",상품기획·MD
(주)비커밍,경력,학력무관,서울 성동구,2022-05-31,2022-06-12,인턴직,[Bcoming] 디지털마케팅 인턴 채용,"
, SNS, 마케팅기획, 마케팅전략, 블로그마케팅, 인플루언서마케팅,  외            ",상품기획·MD
(주)교원,경력무관,대학교(4년) 이상,서울 중구,2022-06-01,2022-06-30,위촉직,교원그룹 초등 전과목 및 독서 관리교사 (재택) [서울/수도권/대전/천안/청주],"
, 회원분석, 영어, 일본어, 중국어, 공부방교사,  외            ",상품기획·MD
(주)홍천철원물류센터,경력무관,학력무관,인천 계양구,2022-06-02,2022-06-19,정규직,CS업무 및 관리 경력무관 모집(정규직),"
, 사무직, 총무, 비품관리, 사무보조, 서류관리,  외            ",상품기획·MD
